Request TimeStamp,Request Target,Request Data,Response TimeStamp,Response Source,Response Data,Communication Error,,
0.00000s,Vector SLP3,10 03,0.00778s,Vector SLP3,50 03 03 78 00 64,,"Diag Session cpntrol 10 -SID,
SSID
01 - default
02 - Programming 
03 - Extended",Positive response SID+40
0.02483s,Vector SLP3,10 02,0.02819s,Vector SLP3,50 02 03 78 00 64,,Boot jump,
0.03374s,Vector SLP3,27 01,0.03816s,Vector SLP3,67 01 F2 CF 26 FF,,"27 - Security access
01 - Request seed",Response seed -->  F2 CF 26 FF
0.06386s,Vector SLP3,27 02 AC 21 40 F5,0.15109s,Vector SLP3,67 02,,"02 - send Key 
Key - AC 21 40 F5","67 - Positive response
calculate and verifies the key if matches sends pos response"
0.15850s,Vector SLP3,2E F1 5A 23 03 06,0.16043s,Vector SLP3,6E F1 5A,,"2E - Write data identifier
F1 - Write data (payload)",pos response
0.17099s,Vector SLP3,31 01 FF 00 44 11 00 40 00 00 01 AD 00,0.37922s,Vector SLP3,71 01 FF 00 00,,"31- Routine control
01 - Start routine 
FF - Erase memory request
Start diag function inside ECU",
0.39682s,Vector SLP3,34 00 44 11 00 40 00 00 01 AD 00,0.39849s,Vector SLP3,74 40 00 00 00 82,,"34 - Request download
Encryption state
00 - No Encryption 
01 - Encryption used
44 - 
LSB(4) Memory size (00 01 AD 00)
MSB(4) Address (11 00 40 00)","40--> MSB(Max block length)
0 -->LSB (reserved)
82 --> Per transfer data length"
0.42888s,Vector SLP3,36 01 00 18 00 18 21 B7 00 11 D3 B6 00 11 2B B7 00 11 2D B7 00 11 2F B7 00 11 31 B7 00 11 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 33 B7 00 11 35 B7 00 11 00 00 00 00 37 B7 00 11 39 84 00 11 E9 B4 00 11 EB B4 00 11 ED B4 00 11 9D B5 00 11 9F B5 00 11 BD B5 00 11 BF B5 00 11 C1 B5 00 11 C3 B5 00 11 C5 B5 00 11 C7 B5 00 11 03 B6 00 11 3B B7 00 11 3B B7 00 11 5B B6 00 11 3B B7 00 11,0.43351s,Vector SLP3,76 01,,"36 - Transfer data
00 - Seqeunce counter
0X82 bytes per transfer",Received and pos response 
0.46173s,Vector SLP3,36 02 DF F8 14 D0 0E F0 32 FE 0E F0 8C FC 00 48 00 47 41 84 00 11 0E F0 C4 FD 00 18 00 18 38 48 C0 88 70 47 70 B5 03 F0 57 FB 35 4C 00 25 60 70 A1 88 01 20 01 29 06 D0 02 29 3D D0 03 29 1C BF A0 80 25 70 70 BD 21 78 00 29 08 BF 20 70 03 F0 34 FF 18 B9 0D F0 CC FC 0D F0 4B F8 60 78 01 28 02 D1 03 F0 2A FF 10 B1 60 78 60 B9 08 E0 E5 80 25 81 00 F0 9F FF 00 28 08 BF 02 20 16 D1 37 E0 03 F0,0.46638s,Vector SLP3,76 02,,,
0.49266s,Vector SLP3,36 03 33 FB 70 B1 20 89 0A 28 3C BF 40 1C 20 81 0C D3 03 F0 12 FF 01 28 0C BF 41 F2 94 10 E5 80 04 D1 02 E0 25 81 03 F0 14 FB E0 80 A0 88 01 28 08 BF 70 BD 25 70 70 BD 21 78 39 B9 20 70 11 48 01 7A 21 F0 01 01 01 72 01 F0 19 FE 60 88 64 28 10 D3 60 78 18 B1 03 F0 EB FE 01 28 02 D1 65 80 07 F0 0C F9 09 48 01 68 21 F0 01 01 01 60 03 20 A0 80 DF E7 40 1C 60 80 A0 88 02 28 DA D1 70 BD 00 00,0.49725s,Vector SLP3,76 03,,,
